stock_code,prediction
300088.SZ,0.4453188180923462
600977.SH,0.44522371888160706
601098.SH,0.44501644372940063
301502.SZ,0.4449467658996582
300565.SZ,0.4448460638523102
688355.SH,0.4447915256023407
300128.SZ,0.44389909505844116
601177.SH,0.4438907206058502
605488.SH,0.44388407468795776
605555.SH,0.44378772377967834
688268.SH,0.4437342584133148
300324.SZ,0.4437185823917389
300161.SZ,0.44368085265159607
301319.SZ,0.44347837567329407
688005.SH,0.44345638155937195
688183.SH,0.4434159994125366
601997.SH,0.44340944290161133
300746.SZ,0.44333919882774353
301667.SZ,0.443322092294693
002638.SZ,0.44324713945388794
301557.SZ,0.4431193768978119
002631.SZ,0.44295382499694824
600066.SH,0.44287291169166565
301118.SZ,0.442649781703949
603071.SH,0.44243162870407104
300750.SZ,0.44242313504219055
688382.SH,0.4424183666706085
002181.SZ,0.4423212707042694
001337.SZ,0.4421311914920807
002616.SZ,0.44206473231315613
600027.SH,0.44206371903419495
002850.SZ,0.44178465008735657
600350.SH,0.4416343569755554
688230.SH,0.44157958030700684
002823.SZ,0.4415538012981415
600184.SH,0.44154155254364014
000027.SZ,0.4412788152694702
300679.SZ,0.441125750541687
002285.SZ,0.44099849462509155
600021.SH,0.4408642053604126
300143.SZ,0.4407448172569275
688372.SH,0.44047921895980835
002095.SZ,0.44046980142593384
301252.SZ,0.44041281938552856
002929.SZ,0.44040679931640625
000537.SZ,0.4403509497642517
300453.SZ,0.4403133690357208
301198.SZ,0.44031330943107605
002866.SZ,0.4403035044670105
301169.SZ,0.440285861492157
300158.SZ,0.4402734339237213
688116.SH,0.4402697682380676
688378.SH,0.44025978446006775
300077.SZ,0.44013017416000366
000993.SZ,0.440014511346817
301049.SZ,0.43999987840652466
001308.SZ,0.4399411678314209
002786.SZ,0.4398845136165619
002742.SZ,0.43974071741104126
300757.SZ,0.43940842151641846
600956.SH,0.4393719434738159
603063.SH,0.43919873237609863
002810.SZ,0.4391801655292511
002584.SZ,0.439179003238678
300192.SZ,0.43903738260269165
301509.SZ,0.438923716545105
300069.SZ,0.4388079047203064
002241.SZ,0.43879473209381104
002603.SZ,0.43867796659469604
600449.SH,0.43867743015289307
301382.SZ,0.43862998485565186
001359.SZ,0.43849676847457886
300057.SZ,0.43845927715301514
002463.SZ,0.43843740224838257
688475.SH,0.43839675188064575
300609.SZ,0.43819737434387207
002112.SZ,0.43819135427474976
688758.SH,0.4380998909473419
301148.SZ,0.4380638897418976
002052.SZ,0.4379880428314209
688035.SH,0.43785908818244934
000695.SZ,0.4378356635570526
603301.SH,0.43767616152763367
002980.SZ,0.4376612603664398
603912.SH,0.43762609362602234
688231.SH,0.4376073479652405
002185.SZ,0.437560498714447
600791.SH,0.4374867081642151
002674.SZ,0.437436044216156
300955.SZ,0.4374118447303772
002432.SZ,0.4373725652694702
603033.SH,0.43734410405158997
301328.SZ,0.43730106949806213
600428.SH,0.4372224807739258
000100.SZ,0.43717074394226074
600867.SH,0.4371345639228821
600361.SH,0.43667349219322205
688307.SH,0.43658676743507385
600236.SH,0.4364856481552124
000629.SZ,0.43641987442970276
605118.SH,0.43640458583831787
603198.SH,0.43635284900665283
300619.SZ,0.43633371591567993
601138.SH,0.436126172542572
002938.SZ,0.436028391122818
